location,location_code,geographic_level,time_period,school_type,perm_excl_rate
Mendip,E07000187,localAuthorityDistrict,201718,Total,0.085476174
Mid Devon,E07000042,localAuthorityDistrict,201718,Total,0.105293386
North Devon,E07000043,localAuthorityDistrict,201718,Total,0.102152499
North Dorset,E07000050,localAuthorityDistrict,201718,Total,0.107863229
North Somerset,E06000024,localAuthorityDistrict,201718,Total,0.149046105
Plymouth,E06000026,localAuthorityDistrict,201718,Total,0.103111386
Poole,E06000029,localAuthorityDistrict,201718,Total,0.196341841
Purbeck,E07000051,localAuthorityDistrict,201718,Total,0.049067713
Sedgemoor,E07000188,localAuthorityDistrict,201718,Total,0.220434912
South Gloucestershire,E06000025,localAuthorityDistrict,201718,Total,0.143072482
South Hams,E07000044,localAuthorityDistrict,201718,Total,0.104329682
South Somerset,E07000189,localAuthorityDistrict,201718,Total,0.223822499
Stroud,E07000082,localAuthorityDistrict,201718,Total,0.114313218
Swindon,E06000030,localAuthorityDistrict,201718,Total,0.097041699
Taunton Deane,E07000190,localAuthorityDistrict,201718,Total,0.093620436
Teignbridge,E07000045,localAuthorityDistrict,201718,Total,0.086185669
Tewkesbury,E07000083,localAuthorityDistrict,201718,Total,0.096393285
Torbay,E06000027,localAuthorityDistrict,201718,Total,0.24702561
Torridge,E07000046,localAuthorityDistrict,201718,Total,0.025910092
West Devon,E07000047,localAuthorityDistrict,201718,Total,0.151377536
West Dorset,E07000052,localAuthorityDistrict,201718,Total,0.056099233
West Somerset,E07000191,localAuthorityDistrict,201718,Total,0.031318509
Weymouth and Portland,E07000053,localAuthorityDistrict,201718,Total,0.250661468
Wiltshire,E06000054,localAuthorityDistrict,201718,Total,0.032282205
Camden,E09000007,localAuthorityDistrict,201718,Total,0.094216878
City of London,E09000001,localAuthorityDistrict,201718,Total,0
Hackney,E09000012,localAuthorityDistrict,201718,Total,0.150803318
Hammersmith and Fulham,E09000013,localAuthorityDistrict,201718,Total,0.13723472
Haringey,E09000014,localAuthorityDistrict,201718,Total,0.067934783
Islington,E09000019,localAuthorityDistrict,201718,Total,0.107189974
Kensington and Chelsea,E09000020,localAuthorityDistrict,201718,Total,0.164783427
Lambeth,E09000022,localAuthorityDistrict,201718,Total,0.116427044
Lewisham,E09000023,localAuthorityDistrict,201718,Total,0.123453742
Newham,E09000025,localAuthorityDistrict,201718,Total,0.062715585
Southwark,E09000028,localAuthorityDistrict,201718,Total,0.114829396
Tower Hamlets,E09000030,localAuthorityDistrict,201718,Total,0.015901863
Wandsworth,E09000032,localAuthorityDistrict,201718,Total,0.056552668
Westminster,E09000033,localAuthorityDistrict,201718,Total,0.063918185
Barking and Dagenham,E09000002,localAuthorityDistrict,201718,Total,0.044036527
Barnet,E09000003,localAuthorityDistrict,201718,Total,0.05292032
Bexley,E09000004,localAuthorityDistrict,201718,Total,0.123366536
Brent,E09000005,localAuthorityDistrict,201718,Total,0.061167068
Bromley,E09000006,localAuthorityDistrict,201718,Total,0.114411962
Croydon,E09000008,localAuthorityDistrict,201718,Total,0.064750971
Ealing,E09000009,localAuthorityDistrict,201718,Total,0.111744329
